Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Gansu,China,03/23/2020,136,2,114,37.8099,101.0583
Hong Kong,China,03/23/2020,317,4,100,22.3,114.2
Liaoning,China,03/23/2020,127,2,124,41.2956,122.6085
Jilin,China,03/23/2020,93,1,92,43.6661,126.1923
,Czechia,03/23/2020,1120,1,6,49.8175,15.473
Xinjiang,China,03/23/2020,76,3,73,41.1129,85.2401
Inner Mongolia,China,03/23/2020,75,1,74,44.0935,113.9448
Ningxia,China,03/23/2020,75,0,75,37.2692,106.1655
,Taiwan*,03/23/2020,169,2,28,23.7,121
,Vietnam,03/23/2020,113,0,17,16,108
,Russia,03/23/2020,367,0,16,60,90
Qinghai,China,03/23/2020,18,0,18,35.7452,95.9956
Macau,China,03/23/2020,24,0,10,22.1667,113.55
,Moldova,03/23/2020,94,1,1,47.4116,28.3699
,Bolivia,03/23/2020,24,0,0,-16.2902,-63.5887
Faroe Islands,Denmark,03/23/2020,115,0,0,61.8926,-6.9118
St Martin,France,03/23/2020,4,0,0,18.0708,-63.0501
,Honduras,03/23/2020,26,0,0,15.2,-86.2419
Channel Islands,United Kingdom,03/23/2020,32,0,0,49.3723,-2.3644
New Brunswick,Canada,03/23/2020,17,0,0,46.5653,-66.4619
Tibet,China,03/23/2020,1,0,1,31.6927,88.0924
,Congo (Kinshasa),03/23/2020,30,1,0,-4.0383,21.7587
,Cote d'Ivoire,03/23/2020,14,0,1,7.54,-5.5471
Saint Barthelemy,France,03/23/2020,3,0,0,17.9,-62.8333
,Jamaica,03/23/2020,16,1,2,18.1096,-77.2975
,Turkey,03/23/2020,1236,30,0,38.9637,35.2433
Gibraltar,United Kingdom,03/23/2020,15,0,2,36.1408,-5.3536
"Kitsap, WA",US,03/23/2020,,,,47.6477,-122.6413
"Solano, CA",US,03/23/2020,,,,38.3105,-121.9018
"Santa Cruz, CA",US,03/23/2020,,,,37.0454,-121.958
"Napa, CA",US,03/23/2020,,,,38.5025,-122.2654
"Ventura, CA",US,03/23/2020,,,,34.3705,-119.1391
"Worcester, MA",US,03/23/2020,,,,42.4097,-71.8571
